exchange_symbol,instrument_type
ZT_U90,Future
ZT_Z90,Future
ZT_H91,Future
ZT_M91,Future
ZT_U91,Future
ZT_Z91,Future
ZT_H92,Future
ZT_M92,Future
ZT_U92,Future
ZT_Z92,Future
ZT_H93,Future
ZT_M93,Future
ZT_U93,Future
ZT_Z93,Future
ZT_H94,Future
ZT_M94,Future
ZT_U94,Future
ZT_Z94,Future
ZT_H95,Future
ZT_M95,Future
ZT_U95,Future
ZT_Z95,Future
ZT_H96,Future
ZT_M96,Future
ZT_U96,Future
ZT_Z96,Future
ZT_H97,Future
ZT_M97,Future
ZT_U97,Future
ZT_Z97,Future
ZT_H98,Future
ZT_M98,Future
ZT_U98,Future
ZT_Z98,Future
ZT_H99,Future
ZT_M99,Future
ZT_U99,Future
ZT_Z99,Future
ZT_H00,Future
ZT_M00,Future
ZT_U00,Future
ZT_Z00,Future
ZT_M01,Future
ZT_U01,Future
ZT_Z01,Future
ZT_H02,Future
ZT_M02,Future
ZT_U02,Future
ZT_Z02,Future
ZT_H03,Future
ZT_M03,Future
ZT_U03,Future
ZT_Z03,Future
ZT_H04,Future
ZT_M04,Future
ZT_U04,Future
ZT_Z04,Future
ZT_H05,Future
ZT_M05,Future
ZT_U05,Future
ZT_Z05,Future
ZT_H06,Future
ZT_M06,Future
ZT_U06,Future
ZT_Z06,Future
ZT_H07,Future
ZT_M07,Future
ZT_U07,Future
ZT_Z07,Future
ZT_H08,Future
ZT_M08,Future
ZT_U08,Future
ZT_Z08,Future
ZT_H09,Future
ZT_M09,Future
ZT_U09,Future
ZT_Z09,Future
ZT_H10,Future
ZT_M10,Future
ZT_U10,Future
ZT_Z10,Future
ZT_H11,Future
ZT_M11,Future
ZT_U11,Future
ZT_Z11,Future
ZT_H12,Future
ZT_M12,Future
ZT_U12,Future
ZT_Z12,Future
ZT_H13,Future
ZT_M13,Future
ZT_U13,Future
ZT_Z13,Future
ZT_H14,Future
ZT_M14,Future
ZT_U14,Future
ZT_Z14,Future
ZT_H15,Future
ZT_M15,Future
ZT_U15,Future
ZT_Z15,Future
ZT_H16,Future
ZT_M16,Future
ZT_U16,Future
ZT_Z16,Future
ZT_H17,Future
ZT_M17,Future
ZT_U17,Future
ZT_Z17,Future
ZT_H18,Future
ZT_M18,Future
ZT_U18,Future
ZT_Z18,Future
ZT_H19,Future
ZF_H90,Future
ZF_M90,Future
ZF_U90,Future
ZF_Z90,Future
ZF_H91,Future
ZF_M91,Future
ZF_U91,Future
ZF_Z91,Future
ZF_H92,Future
ZF_M92,Future
ZF_U92,Future
ZF_Z92,Future
ZF_H93,Future
ZF_M93,Future
ZF_U93,Future
ZF_Z93,Future
ZF_H94,Future
ZF_M94,Future
ZF_U94,Future
ZF_Z94,Future
ZF_H95,Future
ZF_M95,Future
ZF_U95,Future
ZF_Z95,Future
ZF_H96,Future
ZF_M96,Future
ZF_U96,Future
ZF_Z96,Future
ZF_H97,Future
ZF_M97,Future
ZF_U97,Future
ZF_Z97,Future
ZF_H98,Future
ZF_M98,Future
ZF_U98,Future
ZF_Z98,Future
ZF_H99,Future
ZF_M99,Future
ZF_U99,Future
ZF_Z99,Future
ZF_H00,Future
ZF_M00,Future
ZF_U00,Future
ZF_Z00,Future
ZF_H01,Future
ZF_M01,Future
ZF_U01,Future
ZF_Z01,Future
ZF_H02,Future
ZF_M02,Future
ZF_U02,Future
ZF_Z02,Future
ZF_H03,Future
ZF_M03,Future
ZF_U03,Future
ZF_Z03,Future
ZF_H04,Future
