root_symbol,instrument_name,underlying_name,exchange_id,exchange_alias,parent_calendar_id,child_calendar_id,underlying_asset_class_id,underlying_country_id,quote_currency_id,multiplier,tick_size,average_pricing,settle_start,settle_end,settle_method,settle_timezone,deliverable,final_settle_method,final_settle_start,final_settle_end,final_settle_timezone,last_trade_time,auto_close_date
YT,3y Treasury Bond,AU 3 Year Treasury Bond,XASX,ASX,XASX,,1,AU,AUD,1000,0.005,,16:10,16:12,cspa,exch,0,Basket Mid,"9:45, 10:30",11:15,exch,12:00,volume_switch_date
XT,10y Treasury Bond,AU 10 Year Treasury Bond,XASX,ASX,XASX,,1,AU,AUD,1000,0.005,,16:10,16:12,cspa,exch,0,Basket Mid,"9:45, 10:30",11:15,exch,12:00,volume_switch_date
JGBM,5y JGB,5 Year JGB Benchmark 4 Year to 5.25 Year,XJPX,OSE,XJPX,,1,JP,JPY,1000000,0.01,,15:00,15:02,cspa,exch,1,Delivery,,,exch,15:02,volume_switch_date
JGBL,10y JGB,10 Year JGB Benchmark 7 Year to 11 Year,XJPX,OSE,XJPX,,1,JP,JPY,1000000,0.01,,15:00,15:02,cspa,exch,1,Delivery,,,exch,15:02,
JGBLM,Mini 10y JGB,10 Year JGB Benchmark 7 Year to 11 Year,XJPX,OSE,XJPX,,1,JP,JPY,100000,0.005,,15:00,15:02,cspa,exch,0,JGB settle,,,exch,15:02,
JGBSL,20y JGB,20 Year JGB Benchmark 19.25 Year to 21 Year,XJPX,OSE,XJPX,,1,JP,JPY,1000000,0.01,,15:00,15:02,cspa,exch,1,Delivery,,,exch,15:02,
FBTM,Medium BTP,4.5 Year to 6 Year Italian Government Bond,XEUR,EUREX,XEUR,EUBANK,1,IT,EUR,1000,0.01,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FBTP,Long BTP,8.5 Year to 11 Year Italian Government Bond,XEUR,EUREX,XEUR,EUBANK,1,IT,EUR,1000,0.01,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FBTS,Short BTP,2 Year to 3.25 Year Short Term Italian Government Debt,XEUR,EUREX,XEUR,EUBANK,1,IT,EUR,1000,0.01,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FGBS,Euro Schatz 2y,1.75 Year to 2.25 Year German Federal Government Debt,XEUR,EUREX,XEUR,EUBANK,1,DE,EUR,1000,0.005,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FGBM,Euro Bobl 5y,4.5 Year to 5.5 Year German Federal Government Debt,XEUR,EUREX,XEUR,EUBANK,1,DE,EUR,1000,0.01,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FGBL,Euro Bund 10y,8.5 Year to 1.5 Year German Federal Government Bond,XEUR,EUREX,XEUR,EUBANK,1,DE,EUR,1000,0.01,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FGBX,Euro Buxl 30y,24 Year to 30 Year German Federal Government Bond,XEUR,EUREX,XEUR,EUBANK,1,DE,EUR,1000,0.02,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FOAM,Mid Term OAT,4.5 Year to 5.5 Year French Republic Government Bond,XEUR,EUREX,XEUR,EUBANK,1,FR,EUR,1000,0.01,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
FOAT,Long Term OAT,8.5 Year to10.5 Year French Republic Government Bond,XEUR,EUREX,XEUR,EUBANK,1,FR,EUR,1000,0.01,,17:14,17:15,vwap,exch,1,Delivery,12:29,12:30,exch,12:30,
H,Medium Gilt,4 Year to 6.25 Year UK Gilts,IFEU,ICE,IFEU,UKBANK,1,GB,GBP,1000,0.01,,16:18,16:33,vwap,exch,1,Delivery,11:00,11:00,exch,11:00,first_notice
R,Long Gilt,8.75 Year to 13 Year UK Gilts,IFEU,ICE,IFEU,UKBANK,1,GB,GBP,1000,0.01,,16:18,16:33,vwap,exch,1,Delivery,11:00,11:00,exch,11:00,first_notice
UB,Ultra Treasury Bond,25 Year to 30 Year US Treasury Bonds,XCME,CBOT,XCME,,1,US,USD,1000,0.03125,,13:59,14:00,vwap,exch,1,Delivery,12:00,12:01,exch,12:01,first_notice
ZB,30y Treasury Bond,15 Year to 25 Year US Treasury Bonds,XCME,CBOT,XCME,,1,US,USD,1000,0.03125,,13:59,14:00,vwap,exch,1,Delivery,12:00,12:01,exch,12:01,first_notice
ZN,10y Treasury Note,6.5 Year to 10 Year US Treasury Note,XCME,CBOT,XCME,,1,US,USD,1000,0.015625,,13:59,14:00,vwap,exch,1,Delivery,12:00,12:01,exch,12:01,first_notice
ZF,5y Treasury Note,4 Year 2 Month to 5 Year US Treasury Note,XCME,CBOT,XCME,,1,US,USD,1000,0.0078125,,13:59,14:00,vwap,exch,1,Delivery,12:00,12:01,exch,12:01,first_notice
ZT,2y Treasury Note,1.75 Year to 5.25 Year US Treasury Note,XCME,CBOT,XCME,,1,US,USD,2000,0.0078125,,13:59,14:00,vwap,exch,1,Delivery,12:00,12:01,exch,12:01,first_notice
CGB,10y Government Bonds,8 Year to 10.5 Year Government of Canada Bonds,XMOD,MX,XMOD,IRD,1,CA,CAD,1000,0.01,,14:59,15:00,vwap,exch,1,Delivery,12:59,13:00,exch,13:00,first_notice
CGF,5y Government Bonds,4.25 Year to 5.25 Year Government of Canada Bonds,XMOD,MX,XMOD,IRD,1,CA,CAD,1000,0.01,,14:59,15:00,vwap,exch,1,Delivery,12:59,13:00,exch,13:00,first_notice
BZ,Brent Crude,ICE Brent Index,XNYM,NYMEX,XNYM,,3,GB,USD,1000,0.01,,19:28,19:30,vwap,London,0,ICE Brent Index,19:30 (London),19:30 (London),exch,19:30 (London),
CL,Light Crude,Light Sweet Crude Oil,XNYM,NYMEX,XNYM,,3,US,USD,1000,0.01,,14:28,14:30,vwap,exch,1,vwap,14:00,14:30,exch,14:30,
QM,Miny crude oil,CL Floating Price,XNYM,NYMEX,XNYM,,3,US,USD,500,0.025,,14:28,14:30,CL settle,exch,0,CL settle,14:00,14:30,exch,14:30,
GC,Gold,100 Troy Oz. Gold 995 fineness,XNYM,NYMEX,XNYM,,4,US,USD,100,0.1,,13:29,13:30,vwap,exch,1,vwap,13:15,13:30,exch,12:30,first_position
QO,Mini Gold,GC Floating Price,XNYM,NYMEX,XNYM,,4,US,USD,50,0.25,,13:29,13:30,GC settle,exch,0,GC settle,13:15,13:30,exch,13:30,
SI,Silver,5000 Troy Oz. Silver 999 fineness,XNYM,NYMEX,XNYM,,4,US,USD,5000,0.005,,13:24,13:25,vwap,exch,1,vwap,13:10,13:25,exch,12:25,first_position
QI,Mini Silver,SI Floating Price,XNYM,NYMEX,XNYM,,4,US,USD,2500,0.0125,,13:24,13:25,SI settle,exch,0,SI settle,13:10,13:25,exch,13:25,
HG,Copper,25000 Lbs. Grade 1 Electrolytic Copper Cathodes,XNYM,NYMEX,XNYM,,4,US,USD,25000,0.0005,,12:59,13:00,vwap,exch,1,vwap,12:30,13:00,exch,12:00,first_position
QC,Miny Copper,HG Floating Price,XNYM,NYMEX,XNYM,,4,US,USD,12500,0.002,,12:59,13:00,HG settle,exch,0,HG settle,12:30,13:00,exch,13:00,
NG,Natural Gas,10000 mmBtu Natural Gas,XNYM,NYMEX,XNYM,,3,US,USD,10000,0.001,,14:28,14:30,vwap,exch,1,vwap,14:00,14:30,exch,14:30,
QG,Miny Natural Gas,NG Floating Price,XNYM,NYMEX,XNYM,,3,US,USD,2500,0.005,,14:28,14:30,NG settle,exch,0,NG settle,14:28,14:30,exch,14:30,
RB,RBOB,42000 Gallons Reformulated Gasoline Blendstock NY Harbor,XNYM,NYMEX,XNYM,,3,US,USD,42000,0.0001,,14:28,14:30,vwap,exch,1,vwap,14:00,14:30,exch,14:30,
QU,Miny rbob,RB Floating Price,XNYM,NYMEX,XNYM,,3,US,USD,21000,0.001,,14:28,14:30,RB settle,exch,0,RB settle,14:28,14:30,exch,14:30,
