exchange_symbol,instrument_name,instrument_country_id,underlying_name,underlying_asset_class_id,type,face_value,settlement_days,coupon,day_counter,first_auction_date,issue_date,effective_date,maturity_date,period,redemption,settle_start,settle_end,settle_timezone,quote_currency_id,multiplier,tick_size,start_date,end_date,exchange_info,parent_calendar_id,child_calendar_id
912796PE3,B 12/06/2018,US,B 12/06/2018,2.0,BILL,100,1,0.0,Act/360,2017-12-05,2017-12-07,,2018-12-06,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2017-12-06,2018-12-04,USBOND,USBOND,
912796PK9,B 01/03/2019,US,B 01/03/2019,2.0,BILL,100,1,0.0,Act/360,2018-01-02,2018-01-04,,2019-01-03,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-01-03,2019-01-02,USBOND,USBOND,
912796PP8,B 01/31/2019,US,B 01/31/2019,2.0,BILL,100,1,0.0,Act/360,2018-01-30,2018-02-01,,2019-01-31,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-01-31,2019-01-30,USBOND,USBOND,
912796PX1,B 03/28/2019,US,B 03/28/2019,2.0,BILL,100,1,0.0,Act/360,2018-03-27,2018-03-29,,2019-03-28,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-03-28,2019-03-27,USBOND,USBOND,
912796QC6,B 04/25/2019,US,B 04/25/2019,2.0,BILL,100,1,0.0,Act/360,2018-04-24,2018-04-26,,2019-04-25,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-04-25,2019-04-24,USBOND,USBOND,
912796QH5,B 05/23/2019,US,B 05/23/2019,2.0,BILL,100,1,0.0,Act/360,2018-05-22,2018-05-24,,2019-05-23,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-05-23,2019-05-09,USBOND,USBOND,
912796QN2,B 12/13/2018,US,B 12/13/2018,2.0,BILL,100,1,0.0,Act/360,2018-06-11,2018-06-14,,2018-12-13,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-06-12,2018-12-12,USBOND,USBOND,
912796QP7,B 12/20/2018,US,B 12/20/2018,2.0,BILL,100,1,0.0,Act/360,2018-06-18,2018-06-21,,2018-12-20,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-06-19,2018-12-19,USBOND,USBOND,
912796QM4,B 06/20/2019,US,B 06/20/2019,2.0,BILL,100,1,0.0,Act/360,2018-06-19,2018-06-21,,2019-06-20,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-06-20,2019-05-09,USBOND,USBOND,
912796QQ5,B 12/27/2018,US,B 12/27/2018,2.0,BILL,100,1,0.0,Act/360,2018-06-25,2018-06-28,,2018-12-27,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-06-26,2018-12-26,USBOND,USBOND,
912796QS1,B 01/10/2019,US,B 01/10/2019,2.0,BILL,100,1,0.0,Act/360,2018-07-09,2018-07-12,,2019-01-10,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-07-10,2019-01-09,USBOND,USBOND,
912796QR3,B 07/18/2019,US,B 07/18/2019,2.0,BILL,100,1,0.0,Act/360,2018-07-17,2018-07-19,,2019-07-18,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-07-18,2019-05-09,USBOND,USBOND,
912796QU6,B 01/24/2019,US,B 01/24/2019,2.0,BILL,100,1,0.0,Act/360,2018-07-23,2018-07-26,,2019-01-24,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-07-24,2019-01-23,USBOND,USBOND,
912796QW2,B 02/07/2019,US,B 02/07/2019,2.0,BILL,100,1,0.0,Act/360,2018-08-06,2018-08-09,,2019-02-07,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-08-07,2019-02-06,USBOND,USBOND,
912796QV4,B 08/15/2019,US,B 08/15/2019,2.0,BILL,100,1,0.0,Act/360,2018-08-14,2018-08-16,,2019-08-15,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-08-15,2019-05-09,USBOND,USBOND,
912796QZ5,B 03/07/2019,US,B 03/07/2019,2.0,BILL,100,1,0.0,Act/360,2018-09-04,2018-09-06,,2019-03-07,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-09-05,2019-03-07,USBOND,USBOND,
912796RB7,B 03/14/2019,US,B 03/14/2019,2.0,BILL,100,1,0.0,Act/360,2018-09-10,2018-09-13,,2019-03-14,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-09-11,2019-03-13,USBOND,USBOND,
912796RA9,B 09/12/2019,US,B 09/12/2019,2.0,BILL,100,1,0.0,Act/360,2018-09-11,2018-09-13,,2019-09-12,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-09-12,2019-05-09,USBOND,USBOND,
912796RC5,B 03/21/2019,US,B 03/21/2019,2.0,BILL,100,1,0.0,Act/360,2018-09-17,2018-09-20,,2019-03-21,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-09-18,2019-03-20,USBOND,USBOND,
912796RD3,B 04/04/2019,US,B 04/04/2019,2.0,BILL,100,1,0.0,Act/360,2018-10-01,2018-10-04,,2019-04-04,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-10-02,2019-04-03,USBOND,USBOND,
